ID_USER,DATE,LAT,LONG,ID_VENUE,SUBCATEGORIA_VENUE,CATEGORIA_MAE,PAIS,CIDADE,BAIRRO,GENERO,OFFSET_HORARIO,CIDADE__PELO_METODO2,PAIS_PELO_METODO2,geometry,index_right,Bairro
 84249997,2014-05-29T15:08:21Z,-25.4774451063,-49.2932409351,4e921c9802d5dcbe60070044,Neighborhood,Neighborhood,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.2932409351 -25.4774451063),20,PORTÃO
 20100364,2014-05-29T15:08:55Z,-25.4352254052,-49.3162657028,4f75daff7beb90b36ea84e2a,Brazilian-Restaurant,Brazilian,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.3162657028 -25.4352254052),29,MOSSUNGUÊ
 37207835,2014-05-29T15:09:10Z,-25.4440109176,-49.2718148232,4da36bd07c1d4eb9a7591dc6,Park,Park,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.2718148232 -25.4440109176),26,REBOUÇAS
 11696448,2014-05-29T15:09:18Z,-25.4352960678,-49.2861914635,5384f4d0498e9590660d4be0,Sports-Bar,Sports-Bar,Brasil,Curitiba,Bigorrilho,male,-180,Curitiba,Brazil            ,POINT (-49.2861914635 -25.4352960678),41,BIGORRILHO
 28439098,2014-05-29T15:10:06Z,-25.4359754058,-49.279219588,51069ca0e4b0fc9c39ff4f41,Brazilian-Restaurant,Brazilian,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.279219588 -25.4359754058),49,CENTRO
 84848484,2014-05-29T15:10:48Z,-25.435755035,-49.2768137245,4f938984e4b00fe65f36c39e,Residential-Building-(Apartment-/-Condo),Residential,Brasil,Curitiba,notFound,female,-180,Curitiba,Brazil            ,POINT (-49.2768137245 -25.435755035),49,CENTRO
 3135310,2014-05-29T15:10:59Z,-25.4208660103,-49.2545467615,4ba448c7f964a520ea9238e3,Bar,Bar,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.2545467615 -25.4208660103),13,JUVEVÊ
 55237092,2014-05-29T15:12:02Z,-25.4076650039,-49.2501962185,4baff25df964a5208c2d3ce3,Pizza-Place,Pizza,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.2501962185 -25.4076650039),9,CABRAL
 7059598,2014-05-29T15:12:22Z,-25.4281840835,-49.2698788644,4ca20b57e44d6dcb49710375,Italian-Restaurant,Italian,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.2698788644 -25.4281840835),49,CENTRO
 16794084,2014-05-29T15:14:16Z,-25.4312860138,-49.2752197714,4bf412e4706e20a1a6e4a898,Empada-House,Empadas,Brasil,Curitiba,notFound,female,-180,Curitiba,Brazil            ,POINT (-49.2752197714 -25.4312860138),49,CENTRO
 5368114,2014-05-29T15:16:20Z,-25.4350355888,-49.2766998692,4bd9f1c50ef39c74c3a11d2d,Miscellaneous-Shop,Shop,Brasil,Curitiba,notFound,female,-180,Curitiba,Brazil            ,POINT (-49.2766998692 -25.4350355888),49,CENTRO
 14266264,2014-05-29T15:16:54Z,-25.4490041292,-49.2499550624,4d40218fc5eaa1cdbd8b9e50,Trade-School,Trade-School,Brasil,Curitiba,notFound,male,-180,Curitiba,Brazil            ,POINT (-49.2499550624 -25.4490041292),18,PRADO VELHO
