ID_USER,DATE,CATEGORIA_MAE,Bairro,LAT,LONG,HOUR,DAY_OF_WEEK,DAY_NAME,PURPOSE
23993895,2014-04-24 08:21:14-03:00,Communications,PRADO VELHO,-25.4649714605,-49.2523845464,8,3,Thursday,WORK
80925363,2014-04-24 08:22:59-03:00,Professional,BIGORRILHO,-25.4344136702,-49.3024467702,8,3,Thursday,WORK
4410530,2014-04-24 08:23:51-03:00,Gym,REBOUÇAS,-25.4408176001,-49.2701065483,8,3,Thursday,LEISURE
68006282,2014-04-24 08:25:05-03:00,Science,MERCÊS,-25.4172885206,-49.2959941134,8,3,Thursday,WORK
23608074,2014-04-24 08:26:49-03:00,Office,JARDIM BOTÂNICO,-25.4383135318,-49.2403370925,8,3,Thursday,WORK
83057374,2014-04-24 08:27:36-03:00,University,BACACHERI,-25.4000560203,-49.2313588016,8,3,Thursday,WORK
34880587,2014-04-24 08:28:06-03:00,High-School,CRISTO REI,-25.4346229746,-49.2473426154,8,3,Thursday,WORK
42482210,2014-04-24 08:28:35-03:00,Hospital,PRADO VELHO,-25.4511897308,-49.2604753181,8,3,Thursday,OTHER
40419292,2014-04-24 08:31:32-03:00,Cosmetics,BATEL,-25.4403124064,-49.2953256138,8,3,Thursday,PURCHASE
65993375,2014-04-24 08:31:50-03:00,Academic-Building,PRADO VELHO,-25.4506781983,-49.2504696492,8,3,Thursday,WORK
6470281,2014-04-24 08:33:00-03:00,Lab,BOM RETIRO,-25.4157106624,-49.282358252,8,3,Thursday,WORK
51912300,2014-04-24 08:33:24-03:00,University,JARDIM BOTÂNICO,-25.4448975112,-49.2384572242,8,3,Thursday,WORK
54261917,2014-04-24 08:33:25-03:00,Language-School,ÁGUA VERDE,-25.4484152003,-49.2807096895,8,3,Thursday,WORK
21861411,2014-04-24 08:34:45-03:00,Hotel,CENTRO,-25.4377618675,-49.2781502008,8,3,Thursday,LEISURE
61309147,2014-04-24 08:35:00-03:00,Office,BATEL,-25.4420137317,-49.295404843,8,3,Thursday,WORK
17542622,2014-04-24 08:36:13-03:00,Residential,REBOUÇAS,-25.4400186577,-49.2698491666,8,3,Thursday,HOME
13021001,2014-04-24 08:37:07-03:00,College-&-Education,REBOUÇAS,-25.4394380011,-49.2687892914,8,3,Thursday,WORK
52341614,2014-04-24 08:38:22-03:00,Office,CENTRO,-25.4344641,-49.2612918811,8,3,Thursday,WORK
41160942,2014-04-24 08:39:37-03:00,School,PORTÃO,-25.4658293325,-49.2964992072,8,3,Thursday,WORK
61277133,2014-04-24 08:39:50-03:00,Neighborhood,HAUER,-25.4803168092,-49.2511940002,8,3,Thursday,HOME
42496666,2014-04-24 08:41:07-03:00,Government,CENTRO,-25.4362358874,-49.2664141953,8,3,Thursday,WORK
48599840,2014-04-24 08:41:39-03:00,Government,JARDIM BOTÂNICO,-25.4447809227,-49.2424495439,8,3,Thursday,WORK
77856020,2014-04-24 08:43:01-03:00,High-School,CENTRO,-25.425140379,-49.2630883603,8,3,Thursday,WORK
34620909,2014-04-24 08:43:19-03:00,Engineering,REBOUÇAS,-25.4386484399,-49.268527629,8,3,Thursday,WORK
34620909,2014-04-24 08:44:16-03:00,Classroom,REBOUÇAS,-25.4387184376,-49.2685721747,8,3,Thursday,WORK
49631160,2014-04-24 08:46:05-03:00,Trade-School,CENTRO,-25.440661,-49.274878,8,3,Thursday,WORK
2053353,2014-04-24 08:46:19-03:00,Tech-Startup,CABRAL,-25.4091315571,-49.2547349594,8,3,Thursday,WORK
17262224,2014-04-24 08:47:31-03:00,Home,MERCÊS,-25.4253491884,-49.2993540601,8,3,Thursday,HOME
73826633,2014-04-24 08:47:48-03:00,City,CENTRO,-25.4297684239,-49.2719113827,8,3,Thursday,OTHER
52319544,2014-04-24 08:48:30-03:00,Academic-Building,CIDADE INDUSTRIAL DE CURITIBA,-25.4462391827,-49.359254837,8,3,Thursday,WORK
83055499,2014-04-24 08:48:50-03:00,City,CENTRO,-25.4297684239,-49.2719113827,8,3,Thursday,OTHER
83154170,2014-04-24 08:49:15-03:00,Bus-Station,JARDIM BOTÂNICO,-25.4366476617,-49.2574167252,8,3,Thursday,OTHER
7640201,2014-04-24 08:49:19-03:00,Office,HUGO LANGE,-25.421144,-49.249317,8,3,Thursday,WORK
71686577,2014-04-24 08:49:59-03:00,Office,CENTRO,-25.4373472337,-49.2803582003,8,3,Thursday,WORK
23760335,2014-04-24 08:50:54-03:00,Office,PRADO VELHO,-25.4559782198,-49.2574368157,8,3,Thursday,WORK
59880692,2014-04-24 08:51:05-03:00,Mall,CENTRO,-25.4302916473,-49.2663216591,8,3,Thursday,PURCHASE
20535556,2014-04-24 08:51:12-03:00,Neighborhood,CENTRO,-25.4323585582,-49.2697699725,8,3,Thursday,HOME
29531466,2014-04-24 08:51:22-03:00,High-School,BATEL,-25.4425322557,-49.2796750302,8,3,Thursday,WORK
55973423,2014-04-24 08:51:36-03:00,Office,CAMPINA DO SIQUEIRA,-25.4396677149,-49.30266963,8,3,Thursday,WORK
1022870,2014-04-24 08:51:59-03:00,Bus-Station,CABRAL,-25.4066101042,-49.2524934055,8,3,Thursday,OTHER
27127657,2014-04-24 08:52:04-03:00,Hospital,CENTRO,-25.4373936963,-49.2725121975,8,3,Thursday,OTHER
28305292,2014-04-24 08:52:45-03:00,Office,VISTA ALEGRE,-25.4048545462,-49.2898821831,8,3,Thursday,WORK
25900897,2014-04-24 08:53:15-03:00,Neighborhood,CENTRO,-25.4323585582,-49.2697699725,8,3,Thursday,HOME
34082250,2014-04-24 08:53:17-03:00,High-School,CENTRO,-25.425140379,-49.2630883603,8,3,Thursday,WORK
69682072,2014-04-24 08:53:18-03:00,Tech-Startup,REBOUÇAS,-25.4547449631,-49.2702698708,8,3,Thursday,WORK
73259616,2014-04-24 08:54:09-03:00,School,AHÚ,-25.4017823503,-49.2675876617,8,3,Thursday,WORK
3860490,2014-04-24 08:54:27-03:00,Bakery,SANTA FELICIDADE,-25.4077544697,-49.3386058605,8,3,Thursday,PURCHASE
11433828,2014-04-24 08:54:27-03:00,Building,BATEL,-25.4348694232,-49.2846158193,8,3,Thursday,OTHER
45079765,2014-04-24 08:54:42-03:00,Office,REBOUÇAS,-25.4517550207,-49.2662706909,8,3,Thursday,WORK
48858791,2014-04-24 08:55:02-03:00,Office,CENTRO,-25.4321391254,-49.2748782157,8,3,Thursday,WORK
17365988,2014-04-24 08:56:05-03:00,Hotel,BATEL,-25.4431927106,-49.2828978817,8,3,Thursday,LEISURE
52621267,2014-04-24 08:56:55-03:00,High-School,CENTRO,-25.4382317686,-49.273724556,8,3,Thursday,WORK
36508740,2014-04-24 08:57:34-03:00,High-School,HUGO LANGE,-25.4221135991,-49.2506790161,8,3,Thursday,WORK
27038801,2014-04-24 09:00:02-03:00,High-School,BATEL,-25.4425322557,-49.2796750302,9,3,Thursday,WORK
39024550,2014-04-24 09:01:19-03:00,Veterinarians,MERCÊS,-25.4201122778,-49.2861753745,9,3,Thursday,OTHER
83507404,2014-04-24 09:01:45-03:00,High-School,CENTRO,-25.425140379,-49.2630883603,9,3,Thursday,WORK
11118972,2014-04-24 09:01:52-03:00,Office,JARDIM BOTÂNICO,-25.4383135318,-49.2403370925,9,3,Thursday,WORK
